psyllid_spp,alpha_stat,pd_stat,Shannon_stat,psyllid_genus_stat,psyllid_family_stat,hostplant_spp_stat,seqrun_stat,genus_geo_stat,random_stat,bm_stat,alpha_pval,pd_pval,Shannon_pval,psyllid_genus_pval,psyllid_family_pval,hostplant_spp_pval,seqrun_pval,genus_geo_pval,random_pval,bm_pval
Atmetocranium_myersi,-0.15984174742660712,-0.12091405144549071,-0.06705618071475561,NA,NA,NA,NA,NA,-0.0011716123564446475,-0.07275306913561261,0.996,0.988,0.992,NA,NA,NA,NA,NA,0.314,1
Mycopsylla_fici,0.014158702191456254,0.009698428474194047,0.013588456523758898,NA,NA,NA,NA,NA,0.003517906395385168,0.06961577398963581,0.006,0.01,0.002,NA,NA,NA,NA,NA,0.055,0.001
Acizzia_dodonaeae,-0.02529463696618772,-0.010498984508783548,-0.03066556829067472,NA,NA,NA,NA,NA,-0.010092705383730442,0.12065241727070836,0.797,0.639,0.791,NA,NA,NA,NA,NA,0.605,0.001
Acizzia_uncatoides,0.006746665647346465,8.594463321552529e-4,0.008915328527172809,NA,NA,NA,NA,NA,5.747272033267911e-4,0.33426341271804083,0.255,0.381,0.169,NA,NA,NA,NA,NA,0.359,0.001
Acizzia_hakeae,-0.015027889727284213,-0.019413866192083993,-0.0016659389776822523,NA,NA,NA,NA,NA,-0.0032455893230910874,0.37272196177339073,0.673,0.709,0.492,NA,NA,NA,NA,NA,0.516,0.001
Acizzia_jucunda,-0.18236374688001117,-0.11644092101070046,0.01994760207205969,NA,NA,NA,NA,NA,-0.009842236314642107,0.18717062582293648,0.973,0.936,0.183,NA,NA,NA,NA,NA,0.579,0.003
Acizzia_errabunda,0.0015393029947996135,0.015413582369189952,0.015881385338602883,NA,NA,NA,NA,NA,-0.07744827698091342,0.2238570694667952,0.386,0.231,0.204,NA,NA,NA,NA,NA,0.863,0.002
Acizzia_acaciae,0.005707983497110766,0.0030752884144947755,-1.980870135158559e-4,NA,NA,NA,NA,NA,-0.026966585018065026,0.2539130638394093,0.219,0.293,0.407,NA,NA,NA,NA,NA,0.777,0.001
Acizzia_acaciaebaileyanae,-0.0114721942642129,-0.010589833134109577,-0.054100431714151846,NA,NA,NA,NA,NA,-0.02041620063730426,0.1588510936135962,0.64,0.641,0.901,NA,NA,NA,NA,NA,0.739,0.001
Acizzia_albizziae,-0.005846342586385416,-0.004693713494765655,0.007306742347126578,NA,NA,NA,NA,NA,-0.02420315668660227,0.24920559632260808,0.528,0.534,0.192,NA,NA,NA,NA,NA,0.72,0.001
Acizzia_solanicola,-0.0038735861056620725,-0.004712656453850537,-0.11061995235573513,NA,NA,NA,NA,NA,0.011516270528764064,0.2864813406790393,0.489,0.52,0.948,NA,NA,NA,NA,NA,0.183,0.001
