psyllid_spp,alpha_stat,pd_stat,Shannon_stat,psyllid_genus_stat,genus_geo_stat,random_stat,bm_stat,alpha_pval,pd_pval,Shannon_pval,psyllid_genus_pval,genus_geo_pval,random_pval,bm_pval
Atmetocranium_myersi,-0.1443228056126502,-0.10857539867523507,-0.06705618071475561,NA,NA,-0.011575517700032513,0.0019412640984077841,0.993,0.992,0.983,NA,NA,0.768,0.001
Mycopsylla_fici,0.007245893138702406,-0.004167322649852756,0.013588456523758898,NA,NA,-0.013895523089883708,-0.005428115951564171,0.021,0.48,0.004,NA,NA,0.703,0.69
Acizzia_dodonaeae,-0.0043762481920032415,6.953933343127369e-4,-0.03066556829067472,NA,NA,-2.3029346504599088e-4,0.009622777992977808,0.517,0.315,0.829,NA,NA,0.382,0.102
Acizzia_uncatoides,0.0026872277698925346,4.386233459718952e-5,0.008915328527172809,NA,NA,1.2885065046092418e-4,0.00786951135426738,0.352,0.369,0.21,NA,NA,0.393,0.199
Acizzia_hakeae,0.0025869786750350892,-8.115476635095101e-4,-0.0016659389776822523,NA,NA,-0.016924339579253746,0.006827439242185563,0.39,0.431,0.522,NA,NA,0.658,0.259
Acizzia_jucunda,-0.03843593219545485,-0.034575641566828484,0.01994760207205969,NA,NA,-0.04415790255652505,0.010347049004945189,0.806,0.755,0.181,NA,NA,0.765,0.235
Acizzia_errabunda,-0.004121661328143901,-0.002354691637496219,0.015881385338602883,NA,NA,-0.05598120705560655,-0.00449660391229627,0.517,0.486,0.206,NA,NA,0.821,0.603
Acizzia_acaciae,0.0013458803502201604,-2.4449308223379527e-4,-1.980870135158559e-4,NA,NA,-0.037064415694464205,0.002655055701581017,0.348,0.383,0.41,NA,NA,0.837,0.262
Acizzia_acaciaebaileyanae,-0.028170956525971017,-0.02522976151995705,-0.054100431714151846,NA,NA,0.002208796869596307,0.017088006534253283,0.81,0.762,0.918,NA,NA,0.282,0.068
Acizzia_albizziae,9.628713837210237e-4,0.004245376338565557,0.007306742347126578,NA,NA,-0.01717171026505771,6.667971588803891e-4,0.364,0.277,0.231,NA,NA,0.676,0.364
Acizzia_solanicola,-0.06377824789279381,-0.048558774597085644,-0.11061995235573513,NA,NA,-6.490436968213973e-4,0.004042903190473012,0.917,0.889,0.967,NA,NA,0.435,0.267
Arytainilla_spartiophila,0.011040069507840679,0.010764601506503652,0.00647086757778118,NA,NA,-0.014057704975174251,0.004844938895275671,0.061,0.05,0.088,NA,NA,0.646,0.118
Baeopelma_foersteri,0.02277328896692193,0.01754766000774173,0.010530165582297493,NA,NA,-0.0033601947734809346,0.006480806977246167,0.016,0.016,0.041,NA,NA,0.465,0.08
Psylla_frodobagginsi,-0.005740326537567542,-8.948239088487105e-4,-0.018150016832308016,NA,NA,-0.5658475184587828,0.006042188508356369,0.55,0.475,0.659,NA,NA,0.999,0.347
Psylla_apicalis,0.002069046283414196,0.01444158279088887,0.003027230870376269,NA,NA,-0.241354753081801,0.004945445841704959,0.468,0.337,0.422,NA,NA,0.969,0.366
Psylla_carmichaeliae_E,-0.19669477063670096,-0.15505575906885805,-0.2790722966002374,NA,NA,-0.020109101590063377,0.002428680820440497,0.974,0.958,0.993,NA,NA,0.649,0.389
Psylla_carmichaeliae_A,0.00849284046548148,0.014709372555548392,0.01901522405268825,NA,NA,0.029286405674451343,-0.003991808776007154,0.376,0.319,0.235,NA,NA,0.243,0.584
Psylla_carmichaeliae_C,0.015200564103764726,0.017433460177363046,0.05911621141099535,NA,NA,0.031275484620030165,0.01221433627577477,0.318,0.3,0.109,NA,NA,0.24,0.275
Calophya_schini,0.025058320096740246,0.022664529059242423,0.021924079733417232,NA,NA,-0.006520841858923358,0.004396262609195415,0.001,0.001,0.001,NA,NA,0.51,0.072
