dist,term,df,SumsOfSqs,MeanSqs,F.Model,R2,p.value
Bray,psyllid_spp,73,56.5379854437586,0.7744929512843644,2.6585981343509477,0.5244241487335706,0.001
Bray,hostplant_spp,55,41.151267347927856,0.7482048608714156,2.177546633057194,0.38170299452413553,0.001
Jaccard,psyllid_spp,73,39.153878700503505,0.5363545027466233,1.7956455425987055,0.4268634156947688,0.001
Jaccard,hostplant_spp,55,30.17086305874015,0.5485611465225482,1.7289096814560692,0.3289287827197391,0.001
Aitchison,psyllid_spp,73,52342.0225619175,717.0140076975,2.000779967165328,0.4535127815910684,0.001
Aitchison,hostplant_spp,55,39784.775235434856,723.3595497351791,1.8555066809220238,0.34471163319403314,0.001
Unifrac,psyllid_spp,73,27.143864514421956,0.37183376047153366,1.9307056862453025,0.4446925012435115,0.001
Unifrac,hostplant_spp,55,21.191178677667466,0.3852941577757721,1.875783607553537,0.3471708402266461,0.001
WUnifrac,psyllid_spp,73,45.223369621622965,0.6194982139948352,3.710767792546482,0.606163583646008,0.001
WUnifrac,hostplant_spp,55,33.35233970241897,0.6064061764076177,2.8517016425354664,0.44704704505988047,0.001
