hostplant_spp,values
Acacia_baileyana,-4071615.4493078063
Acacia_melanoxylon,-3585677.5737257916
Acacia_sp,-4142318.709530876
Alnus_glutinosa,-3682993.460234164
Aristotelia_fruticosa,-7011730.290879123
Brachyglottis_repanda,-2057599.535758468
Carmichaelia_petri,-2894758.865358239
Carmichaelia_sp,-2751306.308051169
Casuarina_sp,-5838158.263336439
Coprosma_sp,-2850449.6790724704
Cytisus_scoparius,-3275048.5223288825
Discaria_toumatou,-7634668.8909135
Dodonaea_viscosa,-5568583.653157413
Dracophyllum_sp,-4264657.872958969
Elaeocarpus,-7011730.290879128
Eucalyptus_globulus,-1328823.5703377023
Eucalyptus_sp,-2588910.399498367
Ficus_macrophylla,-5018918.508911788
Fraxinus_excelsior,-3103577.284373248
Fuchsia_excorticata,-4348211.500580461
Grevillea_sp,-13748528.417095479
Hakea_acicularis,-13748528.41709548
Halocarpus_sp,-23901240.50216221
Hebe_sp,-3387220.8759197895
Kunzea_ericoides,-1462801.744410408
Leptospermum_scoparius,-1558482.313185514
Lophostemon_confertus,-1341548.5017267528
Metrosideros_robusta,-5986282.0452832095
Metrosideros_umbellata,-8122953.921553079
Muehlenbeckia_auxiliaris,-4679076.539341262
Muehlenbeckia_complexa,-4679076.5393412495
Olearia,-2037310.2904718607
Olearia_arborescens,-1970920.675405434
Olearia_avicenniifolia,-1964694.4986334057
Olearia_fragmentissima,-2493935.822309317
Olearia_ilicifolia,-1949420.2818051013
Olearia_odorata,-4578905.771793071
Olearia_paniculata,-7616315.732622633
Olearia_rani,-2023335.3304015957
Olearia_rani_var_colorata,-2023335.330401598
Olearia_sp,-2249790.52740228
Olearia_virgata,-2468319.0268896343
Ozothamnus_sp,-2078045.630604943
Pittosporum_crassifolius,-2179507.5844502095
Pittosporum_divaricartum,-2179507.58445021
Plagianthus_sp,-5610650.157462164
Pseudopanax_arboreus,-2031746.7270438576
Pseudopanax_crassifolius,-2021047.2209309961
Pseudopanax_edgerlii,-2030948.863588518
Pseudowintera_colorata,-25671919.455984477
Schinus_molle,-3991873.91058155
Solanum_tuberosum,-4615004.667633101
Sophora_microphylla,-2727201.0106267724
Syzygium_smithii,-5986282.045283213
Weinmannia_racemosa,-29113575.093375746
