joint,values,hostplant_spp,psyllid_spp,signif
Weinmannia_racemosa-Atmetocranium_myersi,28.589113898124197,Weinmannia_racemosa,Atmetocranium_myersi,0
Hakea_acicularis-Acizzia_hakeae,26.656205068024974,Hakea_acicularis,Acizzia_hakeae,0
Grevillea_sp-Acizzia_hakeae,26.656205068024974,Grevillea_sp,Acizzia_hakeae,0
Acacia_sp-Acizzia_jucunda,21.356988376142112,Acacia_sp,Acizzia_jucunda,0
Acacia_baileyana-Acizzia_errabunda,23.03305107645201,Acacia_baileyana,Acizzia_errabunda,0
Acacia_sp-Acizzia_uncatoides,20.214526950845425,Acacia_sp,Acizzia_uncatoides,0
Dodonaea_viscosa-Acizzia_dodonaeae,21.128904654906364,Dodonaea_viscosa,Acizzia_dodonaeae,0
Acacia_melanoxylon-Acizzia_acaciae,15.650428330063392,Acacia_melanoxylon,Acizzia_acaciae,1
Acacia_baileyana-Acizzia_acaciaebaileyanae,19.30620290635943,Acacia_baileyana,Acizzia_acaciaebaileyanae,1
Acacia_sp-Acizzia_albizziae,21.772698665842654,Acacia_sp,Acizzia_albizziae,0
Solanum_tuberosum-Acizzia_solanicola,28.542182323520137,Solanum_tuberosum,Acizzia_solanicola,0
Cytisus_scoparius-Arytainilla_spartiophila,14.867520427446038,Cytisus_scoparius,Arytainilla_spartiophila,1
Alnus_glutinosa-Baeopelma_foersteri,17.243740357092747,Alnus_glutinosa,Baeopelma_foersteri,1
Sophora_microphylla-Psylla_frodobagginsi,13.39983898837238,Sophora_microphylla,Psylla_frodobagginsi,1
Sophora_microphylla-Psylla_apicalis,13.399838988372267,Sophora_microphylla,Psylla_apicalis,1
Carmichaelia_sp-Psylla_carmichaeliae_A,14.1014336587441,Carmichaelia_sp,Psylla_carmichaeliae_A,1
Carmichaelia_sp-Psylla_carmichaeliae_C,14.101433658743872,Carmichaelia_sp,Psylla_carmichaeliae_C,1
Carmichaelia_petri-Psylla_carmichaeliae_E,14.515751631592707,Carmichaelia_petri,Psylla_carmichaeliae_E,1
Solanum_tuberosum-Bactericera_cockerelli,22.546088371989526,Solanum_tuberosum,Bactericera_cockerelli,0
Casuarina_sp-Casuarinicola_australis,24.77164237156876,Casuarina_sp,Casuarinicola_australis,0
Syzygium_smithii-Trioza_adventicia,22.09983510916902,Syzygium_smithii,Trioza_adventicia,0
