joint,values,upper,Sample_Name,OTU,signif
Acizzia_solanicola-SV1_f__Sphingomonadaceae,-6.1570539604634735,-6.143575934171043,Acizzia_solanicola,SV1_f__Sphingomonadaceae,0
Anomalopsylla_insignita-SV1_f__Sphingomonadaceae,-13.806105238778153,-13.792250703295736,Anomalopsylla_insignita,SV1_f__Sphingomonadaceae,1
Acizzia_uncatoides-SV2_Sphingomonas,-6.565113265349703,-6.551650452987254,Acizzia_uncatoides,SV2_Sphingomonas,0
Trioza_bifida-SV2_Sphingomonas,-4.706616943863877,-4.697487894836369,Trioza_bifida,SV2_Sphingomonas,0
Ctenarytaina_SHORT-SV2_Sphingomonas,-7.645124872462926,-7.634450361058268,Ctenarytaina_SHORT,SV2_Sphingomonas,1
Ctenarytaina_clavata_sp_B-SV2_Sphingomonas,-7.717184968760058,-7.7060837802321664,Ctenarytaina_clavata_sp_B,SV2_Sphingomonas,1
Ctenarytaina_fuchsia_A-SV2_Sphingomonas,-7.951666032642182,-7.941345304011796,Ctenarytaina_fuchsia_A,SV2_Sphingomonas,1
Ctenarytaina_eucalypti-SV2_Sphingomonas,-7.619741857588046,-7.605179876281246,Ctenarytaina_eucalypti,SV2_Sphingomonas,1
Ctenarytaina_longicauda-SV2_Sphingomonas,-7.671284574940575,-7.658721823549297,Ctenarytaina_longicauda,SV2_Sphingomonas,1
Acizzia_acaciaebaileyanae-SV3_Sphingomonas,-10.265767805669876,-10.212628057550923,Acizzia_acaciaebaileyanae,SV3_Sphingomonas,1
Trioza_subvexa-SV3_Sphingomonas,-7.862419883162686,-7.81411345796817,Trioza_subvexa,SV3_Sphingomonas,1
Trioza_OMAHUTA-SV3_Sphingomonas,-7.867427467391741,-7.8194861945675225,Trioza_OMAHUTA,SV3_Sphingomonas,1
Trioza_compressa-SV3_Sphingomonas,-7.8084088419977835,-7.760601380685726,Trioza_compressa,SV3_Sphingomonas,1
Trioza_dacrydii-SV3_Sphingomonas,-8.020268410856525,-7.971348025031003,Trioza_dacrydii,SV3_Sphingomonas,1
Trioza_obscura-SV3_Sphingomonas,-8.131251618645038,-8.08491089218184,Trioza_obscura,SV3_Sphingomonas,1
Trioza_sp_A-SV3_Sphingomonas,-7.664276951237991,-7.618729296452786,Trioza_sp_A,SV3_Sphingomonas,1
Trioza_sp_D-SV3_Sphingomonas,-7.703936096548746,-7.658057426311417,Trioza_sp_D,SV3_Sphingomonas,1
Ctenarytaina_fuchsia_B-SV3_Sphingomonas,-11.649795681664154,-11.600900529717773,Ctenarytaina_fuchsia_B,SV3_Sphingomonas,1
Anomalopsylla_insignita-SV3_Sphingomonas,-17.186348798338763,-17.12178640480948,Anomalopsylla_insignita,SV3_Sphingomonas,1
Acizzia_dodonaeae-SV4_Sphingomonas,-13.332319737422102,-13.238932452388042,Acizzia_dodonaeae,SV4_Sphingomonas,1
Acizzia_acaciae-SV4_Sphingomonas,-13.627468560114343,-13.53203308087808,Acizzia_acaciae,SV4_Sphingomonas,1
Acizzia_albizziae-SV4_Sphingomonas,-14.088676923613207,-13.986156162095078,Acizzia_albizziae,SV4_Sphingomonas,1
Trioza_OMAHUTA-SV4_Sphingomonas,-11.078709559212113,-10.993045127532524,Trioza_OMAHUTA,SV4_Sphingomonas,1
Trioza_decurvata-SV4_Sphingomonas,-11.352013686907478,-11.267395252608825,Trioza_decurvata,SV4_Sphingomonas,1
Trioza_vitreoradiata-SV4_Sphingomonas,-11.089677841180494,-11.004699833122215,Trioza_vitreoradiata,SV4_Sphingomonas,1
Trioza_irregularis-SV4_Sphingomonas,-10.750406281583414,-10.666261294185627,Trioza_irregularis,SV4_Sphingomonas,1
Ctenarytaina_SHORT-SV4_Sphingomonas,-13.991175098529432,-13.902567018599694,Ctenarytaina_SHORT,SV4_Sphingomonas,1
Ctenarytaina_clavata_sp_A-SV4_Sphingomonas,-13.959401814225092,-13.869352735296523,Ctenarytaina_clavata_sp_A,SV4_Sphingomonas,1
Ctenarytaina_clavata_sp_B-SV4_Sphingomonas,-13.950863452180469,-13.860727192905376,Ctenarytaina_clavata_sp_B,SV4_Sphingomonas,1
Ctenarytaina_eucalypti-SV4_Sphingomonas,-15.73554608734292,-15.641505215984605,Ctenarytaina_eucalypti,SV4_Sphingomonas,1
Ctenarytaina_spatulata-SV4_Sphingomonas,-15.275003875553567,-15.180789379708742,Ctenarytaina_spatulata,SV4_Sphingomonas,1
Ctenarytaina_longicauda-SV4_Sphingomonas,-14.739606567013979,-14.6494621486772,Ctenarytaina_longicauda,SV4_Sphingomonas,1
Acizzia_jucunda-SV5_Sphingomonas,-13.154639014921955,-13.075860278657618,Acizzia_jucunda,SV5_Sphingomonas,1
Acizzia_errabunda-SV5_Sphingomonas,-13.099362343214635,-13.020652336905323,Acizzia_errabunda,SV5_Sphingomonas,1
Acizzia_dodonaeae-SV5_Sphingomonas,-12.482720572145132,-12.400159064663265,Acizzia_dodonaeae,SV5_Sphingomonas,1
Acizzia_acaciae-SV5_Sphingomonas,-12.396158206619056,-12.318352421068306,Acizzia_acaciae,SV5_Sphingomonas,1
Acizzia_albizziae-SV5_Sphingomonas,-11.787759808541088,-11.710248795043888,Acizzia_albizziae,SV5_Sphingomonas,1
Psylla_carmichaeliae_E-SV5_Sphingomonas,-14.833497896744735,-14.747246928442525,Psylla_carmichaeliae_E,SV5_Sphingomonas,1
Trioza_curta-SV5_Sphingomonas,-11.882247174485459,-11.80678709279999,Trioza_curta,SV5_Sphingomonas,1
Trioza_doryphora-SV5_Sphingomonas,-8.521693442911012,-8.450151182660125,Trioza_doryphora,SV5_Sphingomonas,1
Trioza_subvexa-SV5_Sphingomonas,-8.55583658058525,-8.483698413647732,Trioza_subvexa,SV5_Sphingomonas,1
Trioza_OMAHUTA-SV5_Sphingomonas,-8.528833466857787,-8.457475484665807,Trioza_OMAHUTA,SV5_Sphingomonas,1
Trioza_compressa-SV5_Sphingomonas,-8.479963841267434,-8.408178653895906,Trioza_compressa,SV5_Sphingomonas,1
Trioza_bifida-SV5_Sphingomonas,-8.97772306759179,-8.905149575962074,Trioza_bifida,SV5_Sphingomonas,1
Trioza_gourlayi-SV5_Sphingomonas,-8.934774670694905,-8.862118562814523,Trioza_gourlayi,SV5_Sphingomonas,1
Trioza_dacrydii-SV5_Sphingomonas,-9.22984738093476,-9.160239135957115,Trioza_dacrydii,SV5_Sphingomonas,1
Trioza_obscura-SV5_Sphingomonas,-9.723541107919047,-9.652534134699987,Trioza_obscura,SV5_Sphingomonas,1
Trioza_sp_D-SV5_Sphingomonas,-9.900179889192318,-9.828269238864705,Trioza_sp_D,SV5_Sphingomonas,1
Trioza_fasciata-SV5_Sphingomonas,-9.978071268962527,-9.906434339161668,Trioza_fasciata,SV5_Sphingomonas,1
Trioza_irregularis-SV5_Sphingomonas,-9.896248624766775,-9.822217304028865,Trioza_irregularis,SV5_Sphingomonas,1
Trioza_MASSEY-SV5_Sphingomonas,-10.695687860709882,-10.624627715297827,Trioza_MASSEY,SV5_Sphingomonas,1
