joint,values,Sample_Name,OTU,signif
Powellia_sp_A-SV617_Candidatus_Carsonella,0.06680100921342902,Powellia_sp_A,SV617_Candidatus_Carsonella,1
Powellia_vitreoradiata-SV617_Candidatus_Carsonella,0.09405666817297464,Powellia_vitreoradiata,SV617_Candidatus_Carsonella,0
Powellia_vitreoradiata-SV618_Candidatus_Carsonella,0.06478116362145858,Powellia_vitreoradiata,SV618_Candidatus_Carsonella,1
Powellia_FORTROSE-SV622_Candidatus_Carsonella,0.12446337079044589,Powellia_FORTROSE,SV622_Candidatus_Carsonella,0
Powellia_sp_D-SV625_Candidatus_Carsonella,0.0646463415815215,Powellia_sp_D,SV625_Candidatus_Carsonella,1
Powellia_emarginata-SV628_Candidatus_Carsonella,0.07646770537728176,Powellia_emarginata,SV628_Candidatus_Carsonella,1
Powellia_irregularis-SV632_Candidatus_Carsonella,0.10257691272503844,Powellia_irregularis,SV632_Candidatus_Carsonella,0
Powellia_panacis-SV634_Candidatus_Carsonella,0.08481699311336688,Powellia_panacis,SV634_Candidatus_Carsonella,1
Powellia_sp_C-SV641_Candidatus_Carsonella,0.09392419842560251,Powellia_sp_C,SV641_Candidatus_Carsonella,1
Powellia_discariae-SV653_Candidatus_Carsonella,0.059566605227528435,Powellia_discariae,SV653_Candidatus_Carsonella,1
Powellia_discariae-SV654_Candidatus_Carsonella,0.059566605227528435,Powellia_discariae,SV654_Candidatus_Carsonella,1
Powellia_falcata-SV655_Candidatus_Carsonella,0.0725017863178361,Powellia_falcata,SV655_Candidatus_Carsonella,1
Powellia_falcata-SV657_Candidatus_Carsonella,0.07250178631783588,Powellia_falcata,SV657_Candidatus_Carsonella,1
Powellia_fasciata-SV659_Candidatus_Carsonella,0.11633116338182425,Powellia_fasciata,SV659_Candidatus_Carsonella,0
Powellia_fasciata-SV664_Candidatus_Carsonella,0.11633116338507432,Powellia_fasciata,SV664_Candidatus_Carsonella,0
Powellia_MASSEY-SV667_Candidatus_Carsonella,0.05948240175354713,Powellia_MASSEY,SV667_Candidatus_Carsonella,1
Powellia_doryphora-SV671_Candidatus_Carsonella,0.0662006723364359,Powellia_doryphora,SV671_Candidatus_Carsonella,1
Powellia_subvexa-SV672_Candidatus_Carsonella,0.06489427941812509,Powellia_subvexa,SV672_Candidatus_Carsonella,1
Powellia_subacuta-SV678_Candidatus_Carsonella,0.0648942794181262,Powellia_subacuta,SV678_Candidatus_Carsonella,1
Powellia_BRENDA_MAY-SV680_Candidatus_Carsonella,0.08495002186287848,Powellia_BRENDA_MAY,SV680_Candidatus_Carsonella,1
Powellia_compressa-SV681_Candidatus_Carsonella,0.0909661375105415,Powellia_compressa,SV681_Candidatus_Carsonella,1
Powellia_sp_B-SV683_Candidatus_Carsonella,0.07819287988364598,Powellia_sp_B,SV683_Candidatus_Carsonella,1
Powellia_dacrydii-SV687_Candidatus_Carsonella,0.12408293313335017,Powellia_dacrydii,SV687_Candidatus_Carsonella,0
Powellia_obscura-SV690_Candidatus_Carsonella,0.15104160980347858,Powellia_obscura,SV690_Candidatus_Carsonella,0
Powellia_obscura-SV691_Candidatus_Carsonella,0.15104160979670667,Powellia_obscura,SV691_Candidatus_Carsonella,0
Powellia_OMAHUTA-SV694_Candidatus_Carsonella,0.07997226419524295,Powellia_OMAHUTA,SV694_Candidatus_Carsonella,1
Powellia_hebicola-SV697_Candidatus_Carsonella,0.21369371638633483,Powellia_hebicola,SV697_Candidatus_Carsonella,0
Powellia_colorata-SV699_Candidatus_Carsonella,0.10896366748788089,Powellia_colorata,SV699_Candidatus_Carsonella,0
Powellia_acuta-SV702_Candidatus_Carsonella,0.07501949996647261,Powellia_acuta,SV702_Candidatus_Carsonella,1
Powellia_acuta_B-SV705_Candidatus_Carsonella,0.07501949996771407,Powellia_acuta_B,SV705_Candidatus_Carsonella,1
Powellia_PRICES_VALLEY-SV707_Candidatus_Carsonella,0.1970975867925917,Powellia_PRICES_VALLEY,SV707_Candidatus_Carsonella,0
Powellia_decurvata-SV709_Candidatus_Carsonella,0.10189753596884055,Powellia_decurvata,SV709_Candidatus_Carsonella,0
Powellia_decurvata-SV710_Candidatus_Carsonella,0.10189753596884055,Powellia_decurvata,SV710_Candidatus_Carsonella,0
Powellia_gourlayi-SV728_Candidatus_Carsonella,0.06635544834782348,Powellia_gourlayi,SV728_Candidatus_Carsonella,1
Powellia_bifida-SV730_Candidatus_Carsonella,0.06635544834731655,Powellia_bifida,SV730_Candidatus_Carsonella,1
