hostplant_spp,values
Aristotelia_fruticosa,-2509.464155404055
Brachyglottis_repanda,-1976.8595132480734
Coprosma_sp,-1222.600495735876
Discaria_toumatou,-2791.5376614924453
Dracophyllum_sp,-4399.821160013057
Elaeocarpus,-2509.4641554040563
Fuchsia_excorticata,-8958.884668937233
Halocarpus_sp,-8542.649145506983
Hebe_sp,-3028.68417836012
Metrosideros_robusta,-746.8812827000684
Metrosideros_umbellata,-9265.513759124173
Muehlenbeckia_auxiliaris,-1553.5908734110644
Muehlenbeckia_complexa,-1553.590873411056
Olearia,-1227.0941332800894
Olearia_arborescens,-541.2349287421197
Olearia_avicenniifolia,-817.5670050156682
Olearia_fragmentissima,-4624.11406715636
Olearia_ilicifolia,-689.4255590775907
Olearia_odorata,-3197.2883384257334
Olearia_rani,-1330.702698427926
Olearia_rani_var_colorata,-1330.7026984279257
Olearia_sp,-3254.5244149509517
Olearia_virgata,-3596.009241250441
Ozothamnus_sp,-1270.2801725489248
Pittosporum_crassifolius,-1422.4763648742708
Pittosporum_divaricartum,-1422.476364874271
Plagianthus_sp,-1756.2929784689404
Pseudopanax_arboreus,-2472.584148068225
Pseudopanax_crassifolius,-1055.6711621829672
Pseudopanax_edgerlii,-1342.2787747902455
Pseudowintera_colorata,-11438.030193535209
Syzygium_smithii,-746.8812827000684
