joint,values,hostplant_spp,psyllid_spp,signif
Olearia_ilicifolia-Powellia_BRENDA_MAY,11.193678477992734,Olearia_ilicifolia,Powellia_BRENDA_MAY,1
Olearia_sp-Powellia_BRENDA_MAY,14.470688363866543,Olearia_sp,Powellia_BRENDA_MAY,1
Olearia_ilicifolia-Powellia_doryphora,3.048342739890998,Olearia_ilicifolia,Powellia_doryphora,1
Olearia_avicenniifolia-Powellia_subacuta,4.034026851695259,Olearia_avicenniifolia,Powellia_subacuta,1
Olearia_avicenniifolia-Powellia_subvexa,12.013581039118577,Olearia_avicenniifolia,Powellia_subvexa,1
Olearia-Powellia_subvexa,11.818366689976784,Olearia,Powellia_subvexa,1
Brachyglottis_repanda-Powellia_OMAHUTA,20.03452705512882,Brachyglottis_repanda,Powellia_OMAHUTA,0
Metrosideros_umbellata-Powellia_OMAHUTA,29.501207055290763,Metrosideros_umbellata,Powellia_OMAHUTA,0
Olearia_arborescens-Powellia_sp_B,7.158738823058741,Olearia_arborescens,Powellia_sp_B,1
Olearia_rani_var_colorata-Powellia_compressa,13.237961776410998,Olearia_rani_var_colorata,Powellia_compressa,1
Olearia_rani-Powellia_compressa,13.237961776411026,Olearia_rani,Powellia_compressa,1
Olearia_fragmentissima-Powellia_bifida,22.887105903582267,Olearia_fragmentissima,Powellia_bifida,0
Dracophyllum_sp-Powellia_bifida,28.163621406876644,Dracophyllum_sp,Powellia_bifida,0
Fuchsia_excorticata-Powellia_bifida,32.91605202144444,Fuchsia_excorticata,Powellia_bifida,0
Pseudowintera_colorata-Powellia_bifida,35.540300415543356,Pseudowintera_colorata,Powellia_bifida,0
Olearia_virgata-Powellia_gourlayi,17.26647085476958,Olearia_virgata,Powellia_gourlayi,1
Ozothamnus_sp-Powellia_acuta,11.552532003520355,Ozothamnus_sp,Powellia_acuta,1
Ozothamnus_sp-Powellia_acuta_B,11.552532003520383,Ozothamnus_sp,Powellia_acuta_B,1
Dracophyllum_sp-Powellia_decurvata,14.840974730543081,Dracophyllum_sp,Powellia_decurvata,1
Halocarpus_sp-Powellia_colorata,32.32442846424681,Halocarpus_sp,Powellia_colorata,0
Halocarpus_sp-Powellia_dacrydii,32.32442846424692,Halocarpus_sp,Powellia_dacrydii,0
Hebe_sp-Powellia_obscura,18.76849535844849,Hebe_sp,Powellia_obscura,0
Elaeocarpus-Powellia_FORTROSE,17.68705913182697,Elaeocarpus,Powellia_FORTROSE,1
Aristotelia_fruticosa-Powellia_falcata,17.687059131827027,Aristotelia_fruticosa,Powellia_falcata,1
Discaria_toumatou-Powellia_discariae,18.571836018956844,Discaria_toumatou,Powellia_discariae,0
Coprosma_sp-Powellia_emarginata,11.664845062127227,Coprosma_sp,Powellia_emarginata,1
Hebe_sp-Powellia_hebicola,23.724518501089847,Hebe_sp,Powellia_hebicola,0
Pittosporum_divaricartum-Powellia_sp_A,11.978961094997487,Pittosporum_divaricartum,Powellia_sp_A,1
Pittosporum_crassifolius-Powellia_vitreoradiata,11.97896109499743,Pittosporum_crassifolius,Powellia_vitreoradiata,1
Olearia_virgata-Powellia_sp_D,23.219678580710138,Olearia_virgata,Powellia_sp_D,0
Muehlenbeckia_auxiliaris-Powellia_fasciata,14.231802030745513,Muehlenbeckia_auxiliaris,Powellia_fasciata,1
Muehlenbeckia_complexa-Powellia_fasciata,14.231802030745428,Muehlenbeckia_complexa,Powellia_fasciata,1
Pseudopanax_arboreus-Powellia_irregularis,18.348354994402996,Pseudopanax_arboreus,Powellia_irregularis,0
Fuchsia_excorticata-Powellia_irregularis,31.4119562128094,Fuchsia_excorticata,Powellia_irregularis,0
Pseudopanax_edgerlii-Powellia_sp_C,11.434151597325666,Pseudopanax_edgerlii,Powellia_sp_C,1
Pseudopanax_crassifolius-Powellia_panacis,9.748228121482555,Pseudopanax_crassifolius,Powellia_panacis,1
Olearia_odorata-Powellia_MASSEY,18.491784821624606,Olearia_odorata,Powellia_MASSEY,0
Olearia_sp-Powellia_MASSEY,23.383645570870783,Olearia_sp,Powellia_MASSEY,0
Plagianthus_sp-Powellia_PRICES_VALLEY,15.691474248559075,Plagianthus_sp,Powellia_PRICES_VALLEY,1
