psyllid_spp,values
Trioza_acuta,-573614.133842575
Trioza_acuta_B,-573614.1338425749
Trioza_adventicia,-436490.37425817
Trioza_bifida,-4645209.597352559
Trioza_BRENDA_MAY,-390842.3973658363
Trioza_colorata,-8048926.8343712995
Trioza_compressa,-374844.24740646966
Trioza_curta,-436490.3742581699
Trioza_dacrydii,-8048926.8343712995
Trioza_decurvata,-885754.0990481409
Trioza_discariae,-1996194.6283313313
Trioza_doryphora,-260009.2891249957
Trioza_emarginata,-746162.8704211786
Trioza_falcata,-1796024.3044071486
Trioza_fasciata,-794342.4978372345
Trioza_FORTROSE,-1796024.3044071484
Trioza_gourlayi,-905052.8101752943
Trioza_hebicola,-1333555.4878395174
Trioza_irregularis,-2442530.4012482977
Trioza_MASSEY,-1762037.8029256123
Trioza_obscura,-669193.4166953345
Trioza_OMAHUTA,-2761569.9138043276
Trioza_panacis,-708643.2644315682
Trioza_PRICES_VALLEY,-1329914.5784565643
Trioza_sp_A,-906178.0367575472
Trioza_sp_B,-311476.2839499666
Trioza_sp_C,-778835.2425006327
Trioza_sp_D,-1697147.9676561719
Trioza_subacuta,-266679.1166402652
Trioza_subvexa,-342156.26369936543
Trioza_vitreoradiata,-906178.036757547
