OTU,values
SV10_Novosphingobium,-21.084612635556745
SV100_Candidatus_Carsonella,-8.86605392095103
SV101_Candidatus_Carsonella,-8.418465622998548
SV102_Candidatus_Carsonella,-8.32800849799338
SV103_Candidatus_Carsonella,-7.944987806585985
SV104_Candidatus_Carsonella,-8.51815805006997
SV105_Candidatus_Carsonella,-10.675512630967955
SV106_Candidatus_Carsonella,-10.175853830654644
SV107_Candidatus_Carsonella,-9.475693937969808
SV108_Candidatus_Carsonella,-9.223348727170121
SV109_Candidatus_Carsonella,-10.87756569608714
SV11_Novosphingobium,-22.04150589153568
SV110_Candidatus_Carsonella,-10.906307403358648
SV12_Novosphingobium,-12.674101286195016
SV121_o__Ga0077536,-8.727008834990528
SV126_Pseudomonas,-8.74316697768336
SV127_f__Pseudomonadaceae,-8.298776327584577
SV128_Pseudomonas,-9.426014912257362
SV13_Novosphingobium,-15.562402222640179
SV130_Pseudomonas,-9.80354481049256
SV131_Pseudomonas,-9.649463941691337
SV132_Pseudomonas,-10.773823965941586
SV133_Pseudomonas,-8.955847482204682
SV137_Pseudomonas,-8.608594126893882
SV139_Pseudomonas,-8.006848365560677
SV14_Sphingobium,-14.489974926485495
SV141_Pseudomonas,-10.337914952526148
SV142_Pseudomonas,-10.005631935396806
SV144_Pseudomonas,-7.678082679857531
SV145_Pseudomonas,-9.27763007937323
SV146_Pseudomonas,-10.403059631045961
SV148_Pseudomonas,-8.885268414084367
SV15_Sphingobium,-26.122191609885835
SV150_f__Pseudomonadaceae,-8.092039149997126
SV151_Pseudomonas,-7.154385522571261
SV16_Sphingobium,-17.837765922963378
SV162_c__Gammaproteobacteria,-9.145945839597795
SV163_o__Enterobacterales,-6.331405735489332
SV164_o__Enterobacterales,-6.041886078975428
SV165_c__Gammaproteobacteria,-6.27747908422474
SV168_Sodalis,-7.7218530639506575
SV17_Reyranella,-25.73980896124257
SV172_f__Pectobacteriaceae,-6.03562640825374
SV173_o__Enterobacterales,-6.417731845197254
SV176_c__Gammaproteobacteria,-9.066197933824972
SV177_d__Bacteria,-8.07683495562834
SV178_c__Gammaproteobacteria,-8.720617287685082
SV179_c__Gammaproteobacteria,-7.395860501919811
SV18_Reyranella,-17.621158996851378
SV180_o__Enterobacterales,-6.053475968567841
SV183_c__Gammaproteobacteria,-8.234178550959058
SV187_o__Enterobacterales,-8.951619291252953
SV189_o__Enterobacterales,-10.087227949750577
SV19_Reyranella,-16.047877820759872
SV193_f__Morganellaceae,-6.330660082444901
SV194_f__Morganellaceae,-10.380824679348954
SV196_f__Morganellaceae,-8.242166859678465
SV20_Reyranella,-16.359422169185905
SV200_c__Gammaproteobacteria,-9.253930569784904
SV201_d__Bacteria,-8.963776671200065
SV202_c__Gammaproteobacteria,-7.348309471409761
SV203_c__Gammaproteobacteria,-8.806504435440013
SV204_c__Gammaproteobacteria,-8.856154830922556
SV205_c__Gammaproteobacteria,-9.057068719334652
SV206_c__Gammaproteobacteria,-8.440302113320854
SV207_c__Gammaproteobacteria,-8.193504773247831
SV209_c__Gammaproteobacteria,-12.289170451159036
SV21_Reyranella,-17.372024639294498
SV210_d__Bacteria,-10.142645376872748
SV211_c__Gammaproteobacteria,-8.471328054393954
