joint,values,upper,Sample_Name,OTU,signif
Trioza_dacrydii-SV3_Sphingomonas,-12.766214287671044,-12.724585917591343,Trioza_dacrydii,SV3_Sphingomonas,0
Trioza_obscura-SV3_Sphingomonas,-14.875223710050298,-14.839986739533469,Trioza_obscura,SV3_Sphingomonas,1
Trioza_sp_A-SV3_Sphingomonas,-9.759762736277581,-9.726555953909516,Trioza_sp_A,SV3_Sphingomonas,0
Trioza_sp_D-SV3_Sphingomonas,-9.417074342630142,-9.390148914398532,Trioza_sp_D,SV3_Sphingomonas,0
Trioza_OMAHUTA-SV4_Sphingomonas,-12.600996350696914,-12.489294834984642,Trioza_OMAHUTA,SV4_Sphingomonas,0
Trioza_decurvata-SV4_Sphingomonas,-13.646458060991302,-13.529206950282292,Trioza_decurvata,SV4_Sphingomonas,0
Trioza_vitreoradiata-SV4_Sphingomonas,-12.939655161341191,-12.823932959868221,Trioza_vitreoradiata,SV4_Sphingomonas,0
Trioza_irregularis-SV4_Sphingomonas,-13.112262383698761,-13.00397540721187,Trioza_irregularis,SV4_Sphingomonas,0
Trioza_curta-SV5_Sphingomonas,-45.72741582086768,-45.37053399910641,Trioza_curta,SV5_Sphingomonas,1
Trioza_doryphora-SV5_Sphingomonas,-25.11365027903712,-24.842466960403346,Trioza_doryphora,SV5_Sphingomonas,1
Trioza_bifida-SV5_Sphingomonas,-23.139111430005556,-22.905677308884805,Trioza_bifida,SV5_Sphingomonas,1
Trioza_dacrydii-SV5_Sphingomonas,-31.439980120412216,-31.090216338925085,Trioza_dacrydii,SV5_Sphingomonas,1
Trioza_sp_D-SV5_Sphingomonas,-22.290428716205312,-22.04334378570396,Trioza_sp_D,SV5_Sphingomonas,1
Trioza_fasciata-SV5_Sphingomonas,-24.2199851893331,-23.958645606771146,Trioza_fasciata,SV5_Sphingomonas,1
Trioza_irregularis-SV5_Sphingomonas,-19.39820659867303,-19.110266670838516,Trioza_irregularis,SV5_Sphingomonas,1
Trioza_bifida-SV7_Novosphingobium,-15.224718762016785,-15.050155044918498,Trioza_bifida,SV7_Novosphingobium,1
Trioza_bifida-SV8_f__Sphingomonadaceae,-12.846860968103407,-12.744199721461184,Trioza_bifida,SV8_f__Sphingomonadaceae,0
Trioza_falcata-SV8_f__Sphingomonadaceae,-17.39765315472566,-17.247531756827126,Trioza_falcata,SV8_f__Sphingomonadaceae,1
Trioza_discariae-SV8_f__Sphingomonadaceae,-15.200054002839112,-15.061164735458867,Trioza_discariae,SV8_f__Sphingomonadaceae,1
Trioza_hebicola-SV8_f__Sphingomonadaceae,-15.337010163449936,-15.170666857913229,Trioza_hebicola,SV8_f__Sphingomonadaceae,1
Trioza_vitreoradiata-SV8_f__Sphingomonadaceae,-15.694537830561183,-15.53893406108139,Trioza_vitreoradiata,SV8_f__Sphingomonadaceae,1
Trioza_fasciata-SV8_f__Sphingomonadaceae,-15.657797716438557,-15.531770154105146,Trioza_fasciata,SV8_f__Sphingomonadaceae,1
Trioza_irregularis-SV8_f__Sphingomonadaceae,-14.969359386831984,-14.810857610030471,Trioza_irregularis,SV8_f__Sphingomonadaceae,1
Trioza_sp_C-SV8_f__Sphingomonadaceae,-15.09871160406288,-14.974796623501861,Trioza_sp_C,SV8_f__Sphingomonadaceae,1
Trioza_panacis-SV8_f__Sphingomonadaceae,-13.736028203248855,-13.6034791011126,Trioza_panacis,SV8_f__Sphingomonadaceae,0
Trioza_PRICES_VALLEY-SV8_f__Sphingomonadaceae,-17.971068750873943,-17.870173235307607,Trioza_PRICES_VALLEY,SV8_f__Sphingomonadaceae,1
Trioza_vitreoradiata-SV10_Novosphingobium,-28.693333685440656,-28.36212229439348,Trioza_vitreoradiata,SV10_Novosphingobium,1
Trioza_fasciata-SV10_Novosphingobium,-24.950483761513865,-24.635372913265922,Trioza_fasciata,SV10_Novosphingobium,1
Trioza_irregularis-SV10_Novosphingobium,-23.8415919090612,-23.59362263713356,Trioza_irregularis,SV10_Novosphingobium,1
Trioza_sp_C-SV10_Novosphingobium,-25.210091246443326,-24.945787322691935,Trioza_sp_C,SV10_Novosphingobium,1
Trioza_PRICES_VALLEY-SV10_Novosphingobium,-24.735878000295852,-24.371116230626708,Trioza_PRICES_VALLEY,SV10_Novosphingobium,1
Trioza_panacis-SV11_Novosphingobium,-18.565757682955017,-18.419288595972272,Trioza_panacis,SV11_Novosphingobium,1
Trioza_curta-SV12_Novosphingobium,-40.492954153772814,-40.21239214034415,Trioza_curta,SV12_Novosphingobium,1
Trioza_BRENDA_MAY-SV12_Novosphingobium,-17.097046495064188,-16.878148100273034,Trioza_BRENDA_MAY,SV12_Novosphingobium,1
Trioza_subvexa-SV12_Novosphingobium,-15.54933963872965,-15.335214301592387,Trioza_subvexa,SV12_Novosphingobium,1
Trioza_OMAHUTA-SV12_Novosphingobium,-17.47615332857071,-17.2367054409203,Trioza_OMAHUTA,SV12_Novosphingobium,1
Trioza_sp_B-SV12_Novosphingobium,-15.82048807771588,-15.636039999905632,Trioza_sp_B,SV12_Novosphingobium,1
Trioza_compressa-SV12_Novosphingobium,-16.110783603686965,-15.888711980006414,Trioza_compressa,SV12_Novosphingobium,1
Trioza_gourlayi-SV12_Novosphingobium,-19.963807007525734,-19.71151393852322,Trioza_gourlayi,SV12_Novosphingobium,1
Trioza_colorata-SV12_Novosphingobium,-18.029673209795426,-17.761619433348958,Trioza_colorata,SV12_Novosphingobium,1
Trioza_dacrydii-SV12_Novosphingobium,-14.81810556329368,-14.65159870311199,Trioza_dacrydii,SV12_Novosphingobium,1
Trioza_obscura-SV12_Novosphingobium,-22.573055682761176,-22.353849262410368,Trioza_obscura,SV12_Novosphingobium,1
Trioza_FORTROSE-SV12_Novosphingobium,-18.96128811693316,-18.744484308761674,Trioza_FORTROSE,SV12_Novosphingobium,1
Trioza_discariae-SV12_Novosphingobium,-20.620536651555653,-20.39391765877489,Trioza_discariae,SV12_Novosphingobium,1
Trioza_sp_A-SV12_Novosphingobium,-20.46236432647723,-20.23774688273435,Trioza_sp_A,SV12_Novosphingobium,1
Trioza_sp_D-SV12_Novosphingobium,-20.397050275185766,-20.146511271663424,Trioza_sp_D,SV12_Novosphingobium,1
Trioza_irregularis-SV12_Novosphingobium,-22.640605962616753,-22.427258121673667,Trioza_irregularis,SV12_Novosphingobium,1
Trioza_MASSEY-SV12_Novosphingobium,-24.198341916900493,-24.018391435314186,Trioza_MASSEY,SV12_Novosphingobium,1
Trioza_curta-SV13_Novosphingobium,-35.698633803662446,-35.56142204828155,Trioza_curta,SV13_Novosphingobium,1
Trioza_BRENDA_MAY-SV13_Novosphingobium,-12.184603793382717,-12.098974219997263,Trioza_BRENDA_MAY,SV13_Novosphingobium,0
Trioza_subvexa-SV13_Novosphingobium,-12.483884057797047,-12.391077810756927,Trioza_subvexa,SV13_Novosphingobium,0
Trioza_OMAHUTA-SV13_Novosphingobium,-12.239892532888396,-12.153266891901891,Trioza_OMAHUTA,SV13_Novosphingobium,0
Trioza_sp_B-SV13_Novosphingobium,-12.465774043956554,-12.381996391407979,Trioza_sp_B,SV13_Novosphingobium,0
Trioza_compressa-SV13_Novosphingobium,-12.43665858705517,-12.354437387667332,Trioza_compressa,SV13_Novosphingobium,0
Trioza_gourlayi-SV13_Novosphingobium,-13.335223850218592,-13.22744899002275,Trioza_gourlayi,SV13_Novosphingobium,0
Trioza_colorata-SV13_Novosphingobium,-13.639822720231637,-13.531956121497283,Trioza_colorata,SV13_Novosphingobium,0
Trioza_dacrydii-SV13_Novosphingobium,-14.556839693703962,-14.458714908652281,Trioza_dacrydii,SV13_Novosphingobium,1
Trioza_obscura-SV13_Novosphingobium,-15.393878792287179,-15.323545767776361,Trioza_obscura,SV13_Novosphingobium,1
Trioza_FORTROSE-SV13_Novosphingobium,-12.415333512806336,-12.328457356337761,Trioza_FORTROSE,SV13_Novosphingobium,0
Trioza_sp_A-SV13_Novosphingobium,-10.89602152535438,-10.837697943274542,Trioza_sp_A,SV13_Novosphingobium,0
Trioza_sp_D-SV13_Novosphingobium,-10.913352878070544,-10.83979780887275,Trioza_sp_D,SV13_Novosphingobium,0
Trioza_irregularis-SV13_Novosphingobium,-12.120372158577203,-12.044612910104266,Trioza_irregularis,SV13_Novosphingobium,0
Trioza_MASSEY-SV13_Novosphingobium,-19.764870814477167,-19.65659838973316,Trioza_MASSEY,SV13_Novosphingobium,1
Trioza_OMAHUTA-SV14_Sphingobium,-15.295678483613129,-15.122620394927628,Trioza_OMAHUTA,SV14_Sphingobium,1
Trioza_irregularis-SV14_Sphingobium,-17.469494155504833,-17.277916678647614,Trioza_irregularis,SV14_Sphingobium,1
Trioza_fasciata-SV15_Sphingobium,-19.805357977463913,-19.551524473254567,Trioza_fasciata,SV15_Sphingobium,1
Trioza_curta-SV16_Sphingobium,-35.98316390594864,-35.90801335038519,Trioza_curta,SV16_Sphingobium,1
Trioza_BRENDA_MAY-SV16_Sphingobium,-11.366620480562615,-11.305770157282847,Trioza_BRENDA_MAY,SV16_Sphingobium,0
Trioza_subvexa-SV16_Sphingobium,-11.368697896272781,-11.317830370677742,Trioza_subvexa,SV16_Sphingobium,0
