Sample_Name,values
Trioza_acuta,-13.639921989323046
Trioza_acuta_B,-13.38099361460656
Trioza_adventicia,-34.24147955855337
Trioza_bifida,-12.030910043912533
Trioza_BRENDA_MAY,-11.341168324311077
Trioza_colorata,-13.545030293901297
Trioza_compressa,-11.83282960119959
Trioza_curta,-33.99480739036472
Trioza_dacrydii,-13.800810579013856
Trioza_decurvata,-12.6818427517042
Trioza_discariae,-13.548781424648974
Trioza_doryphora,-12.354303917745307
Trioza_emarginata,-12.746860329676446
Trioza_falcata,-15.560897293926635
Trioza_fasciata,-14.420713979743809
Trioza_FORTROSE,-12.915317825032467
Trioza_gourlayi,-12.078070144176243
Trioza_hebicola,-12.644079023106926
Trioza_irregularis,-12.29140495038811
Trioza_MASSEY,-18.349407714072836
Trioza_obscura,-14.953627963925607
Trioza_OMAHUTA,-11.183991941550063
Trioza_panacis,-12.982169526880174
Trioza_PRICES_VALLEY,-18.383574922997557
Trioza_sp_A,-10.712027805918083
Trioza_sp_B,-11.589357520807884
Trioza_sp_C,-13.251270164176063
Trioza_sp_D,-10.907161985568905
Trioza_subacuta,-12.09780050903374
Trioza_subvexa,-11.08112631658026
Trioza_vitreoradiata,-10.410962227641788
