slice,dist,mantelr,pval3,llim.2.5%,ulim.97.5%,dist1,dist2,dist3,otus,Comparison,Mya
0,Aitchison,0.1421210804906442,0.001,0.07976536681730201,0.16754252719951174,phylo.dist,plant.dist,spat.dist,3231,Microbiome ~ phylo.dist + plant.dist + spat.dist,0
0,Aitchison,0.022085926913468938,0.652,-0.011910606868520031,0.05595345006904611,spat.dist,phylo.dist,plant.dist,3231,Microbiome ~ spat.dist + phylo.dist + plant.dist,0
0,Aitchison,-0.0030042743846700535,0.93,-0.028384416456369785,0.023119810550637793,plant.dist,spat.dist,phylo.dist,3231,Microbiome ~ plant.dist + spat.dist + phylo.dist,0
10000000,Aitchison,0.14676873635170226,0.002,0.0784597712931366,0.17066893763254418,phylo.dist,plant.dist,spat.dist,2956,Microbiome ~ phylo.dist + plant.dist + spat.dist,10
10000000,Aitchison,0.019156985992843798,0.714,-0.011260735549544865,0.04907909359315428,spat.dist,phylo.dist,plant.dist,2956,Microbiome ~ spat.dist + phylo.dist + plant.dist,10
10000000,Aitchison,-0.005290565918580836,0.879,-0.03486348807048885,0.02213298699523867,plant.dist,spat.dist,phylo.dist,2956,Microbiome ~ plant.dist + spat.dist + phylo.dist,10
20000000,Aitchison,0.15246689390633536,0.002,0.08510732096025511,0.17735313559709054,phylo.dist,plant.dist,spat.dist,2721,Microbiome ~ phylo.dist + plant.dist + spat.dist,20
20000000,Aitchison,0.013879558725595894,0.778,-0.01416575607899851,0.0484270363571924,spat.dist,phylo.dist,plant.dist,2721,Microbiome ~ spat.dist + phylo.dist + plant.dist,20
20000000,Aitchison,-0.0064283851964146415,0.84,-0.034781391501779974,0.022247839500176655,plant.dist,spat.dist,phylo.dist,2721,Microbiome ~ plant.dist + spat.dist + phylo.dist,20
30000000,Aitchison,0.15669268162541508,0.001,0.09070852322203157,0.18116582863794725,phylo.dist,plant.dist,spat.dist,2565,Microbiome ~ phylo.dist + plant.dist + spat.dist,30
30000000,Aitchison,0.013066323202026752,0.798,-0.02245702621036149,0.04690477967956179,spat.dist,phylo.dist,plant.dist,2565,Microbiome ~ spat.dist + phylo.dist + plant.dist,30
30000000,Aitchison,-0.006212851825784656,0.834,-0.033641534532631676,0.025861396391634022,plant.dist,spat.dist,phylo.dist,2565,Microbiome ~ plant.dist + spat.dist + phylo.dist,30
40000000,Aitchison,0.16003161585656447,0.001,0.0940190906439848,0.18517096509214098,phylo.dist,plant.dist,spat.dist,2445,Microbiome ~ phylo.dist + plant.dist + spat.dist,40
40000000,Aitchison,0.017050309493635778,0.708,-0.013145278715496575,0.05042573429060691,spat.dist,phylo.dist,plant.dist,2445,Microbiome ~ spat.dist + phylo.dist + plant.dist,40
40000000,Aitchison,-0.004708292423939563,0.888,-0.030392374867481094,0.02234050972539943,plant.dist,spat.dist,phylo.dist,2445,Microbiome ~ plant.dist + spat.dist + phylo.dist,40
50000000,Aitchison,0.16296406748984293,0.001,0.09577507129602864,0.18977821949189916,phylo.dist,plant.dist,spat.dist,2349,Microbiome ~ phylo.dist + plant.dist + spat.dist,50
50000000,Aitchison,0.015321794724360507,0.775,-0.018099968922946165,0.047338323369180674,spat.dist,phylo.dist,plant.dist,2349,Microbiome ~ spat.dist + phylo.dist + plant.dist,50
50000000,Aitchison,-0.004426310850518803,0.876,-0.030969846092879387,0.026072948607157004,plant.dist,spat.dist,phylo.dist,2349,Microbiome ~ plant.dist + spat.dist + phylo.dist,50
60000000,Aitchison,0.1667591217806437,0.001,0.1035754497282218,0.19216444793940324,phylo.dist,plant.dist,spat.dist,2256,Microbiome ~ phylo.dist + plant.dist + spat.dist,60
60000000,Aitchison,0.013745430459451289,0.784,-0.01424182946108726,0.04822958381010502,spat.dist,phylo.dist,plant.dist,2256,Microbiome ~ spat.dist + phylo.dist + plant.dist,60
60000000,Aitchison,-0.006438634801593082,0.849,-0.03284995449998467,0.021063885816551102,plant.dist,spat.dist,phylo.dist,2256,Microbiome ~ plant.dist + spat.dist + phylo.dist,60
70000000,Aitchison,0.16914194846005262,0.001,0.09687016837595146,0.1948589271187228,phylo.dist,plant.dist,spat.dist,2189,Microbiome ~ phylo.dist + plant.dist + spat.dist,70
