,SampleID,Host plants,acacia_melanoxylon.,acacia_melanoxylon._1,acacia_melanoxylon._2,acacia_melanoxylon._3,acacia_baileyana.,acacia_baileyana._1,acacia_baileyana._2,acacia_baileyana._3,acacia_dealbata.,acacia_dealbata._1,acacia_dealbata._2,acacia_dealbata._3,acacia_dealbata._4,acacia_dealbata._5,acacia_dealbata._6,acacia_baileyana._4,acacia_baileyana._5,acacia_baileyana._6,acacia_baileyana._7,acacia_baileyana._8,acacia_baileyana._9,acacia_dealbata._7,acacia_dealbata._8,acacia_dealbata._9,acacia_dealbata._10,acacia_dealbata._11,acacia_dealbata._12,dodonaea_viscosa.,dodonaea_viscosa._1,dodonaea_viscosa._2,dodonaea_viscosa._3,dodonaea_viscosa._4,dodonaea_viscosa._5,dodonaea_viscosa._6,dodonaea_viscosa._7,cytisus_scoparius.,cytisus_scoparius._1,sophora_microphylla.,sophora_microphylla._1,sophora_microphylla._2,sophora_microphylla._3,sophora_microphylla._4,sophora_microphylla._5,sophora_microphylla._6,sophora_microphylla._7,sophora_microphylla._8,carmichaelia_spp.,carmichaelia_spp._1,carmichaelia_spp._2,carmichaelia_spp._3,carmichaelia_spp._4,carmichaelia_petri.,carmichaelia_petri._1,carmichaelia_petri._2,alnus_glutinosa.,alnus_glutinosa._1,casuarina_spp.,casuarina_spp._1,casuarina_spp._2,casuarina_spp._3,casuarina_spp._4,ficus_macrophylla.,ficus_macrophylla._1,ficus_macrophylla._2,discaria_toumatou.,discaria_toumatou._1,discaria_toumatou._2,aristotelia_fruticosa.,aristotelia_fruticosa._1,aristotelia_fruticosa._2,aristotelia_fruticosa._3,elaeocarpus_sp.,elaeocarpus_sp._1,eucalyptus_spp.,eucalyptus_spp._1,eucalyptus_spp._2,eucalyptus_spp._3,eucalyptus_globulus.,eucalyptus_globulus._1,eucalyptus_globulus._2,eucalyptus_globulus._3,eucalyptus_globulus._4,eucalyptus_globulus._5,eucalyptus_globulus._6,eucalyptus_globulus._7,eucalyptus_globulus._8,eucalyptus_globulus._9,eucalyptus_globulus._10,eucalyptus_globulus._11,eucalyptus_globulus._12,eucalyptus_globulus._13,eucalyptus_globulus._14,eucalyptus_globulus._15,eucalyptus_globulus._16,eucalyptus_globulus._17,eucalyptus_globulus._18,eucalyptus_globulus._19,eucalyptus_globulus._20,eucalyptus_globulus._21,eucalyptus_globulus._22,eucalyptus_globulus._23,eucalyptus_maculata.,eucalyptus_spp._4,eucalyptus_spp._5,eucalyptus_spp._6,eucalyptus_spp._7,eucalyptus_spp._8,eucalyptus_spp._9,eucalyptus_spp._10,eucalyptus_spp._11,eucalyptus_spp._12,eucalyptus_spp._13,eucalyptus_spp._14,eucalyptus_spp._15,eucalyptus_spp._16,kunzea_ericoides.,kunzea_ericoides._1,kunzea_ericoides._2,kunzea_ericoides._3,kunzea_ericoides._4,kunzea_ericoides._5,kunzea_ericoides._6,kunzea_ericoides._7,kunzea_ericoides._8,kunzea_ericoides._9,kunzea_ericoides._10,kunzea_ericoides._11,kunzea_ericoides._12,kunzea_ericoides._13,kunzea_ericoides._14,kunzea_ericoides._15,kunzea_ericoides._16,lophostemon_confertus.,lophostemon_confertus._1,lophostemon_confertus._2,leptospermum_scoparius.,leptospermum_scoparius._1,leptospermum_scoparius._2,leptospermum_scoparius._3,leptospermum_scoparius._4,leptospermum_scoparius._5,leptospermum_scoparius._6,leptospermum_scoparius._7,leptospermum_scoparius._8,leptospermum_scoparius._9,leptospermum_scoparius._10,leptospermum_scoparius._11,leptospermum_scoparius._12,syzygium_paniculatum.,metrosideros_robusta.,metrosideros_robusta._1,metrosideros_umbellata.,fuchsia_excorticata.,fuchsia_excorticata._1,fuchsia_excorticata._2,fuchsia_excorticata._3,fuchsia_excorticata._4,fuchsia_excorticata._5,fuchsia_excorticata._6,fuchsia_excorticata._7,fuchsia_excorticata._8,fuchsia_excorticata._9,fuchsia_excorticata._10,fuchsia_excorticata._11,fuchsia_excorticata._12,fuchsia_excorticata._13,fuchsia_excorticata._14,fuchsia_excorticata._15,fuchsia_excorticata._16,fuchsia_excorticata._17,fuchsia_excorticata._18,fuchsia_excorticata._19,fuchsia_excorticata._20,fuchsia_excorticata._21,fuchsia_excorticata._22,fuchsia_excorticata._23,fuchsia_excorticata._24,schinus_molle.,schinus_molle._1,plagianthus_sp.,olearia_paniculata.,olearia_paniculata._1,olearia_paniculata._2,olearia_paniculata._3,olearia_paniculata._4,olearia_odorata.,olearia_odorata._1,olearia_odorata._2,olearia_odorata._3,olearia_paniculata._5,olearia_fragmentissima.,olearia_ilicifolia.,olearia_sp.,olearia_rani.,olearia_rani._1,olearia_rani._2,olearia_ilicifolia._1,olearia_ilicifolia._2,olearia_ilicifolia._3,olearia_ilicifolia._4,olearia_virgata.,olearia_virgata._1,olearia_odorata._4,olearia_odorata._5,olearia_odorata._6,olearia_arborescens.,olearia_virgata._2,olearia_virgata._3,olearia_virgata._4,olearia_avicenniifolia.,olearia_avicenniifolia._1,olearia_avicenniifolia._2,olearia_avicenniifolia._3,olearia_avicenniifolia._4,olearia_avicenniifolia._5,ozothamnus_leptophyllus.,ozothamnus_leptophyllus._1,ozothamnus_spp.,brachygliottis_repanda.,brachygliottis_repanda._1,brachygliottis_repanda._2,pseudopanax_arboreus.,pseudopanax_arboreus._1,pseudopanax_arboreus._2,pseudopanax_arboreus._3,pseudopanax_crassifolius.,pseudopanax_edgerlii.,pittosporum_divaricatum.,pittosporum_divaricatum._1,pittosporum_divaricatum._2,pittosporum_crassifolium.,pittosporum_crassifolium._1,pittosporum_crassifolium._2,pittosporum_crassifolium._3,pittosporum_crassifolium._4,pittosporum_crassifolium._5,pittosporum_crassifolium._6,pittosporum_crassifolium._7,pittosporum_crassifolium._8,pittosporum_crassifolium,solanum_tuberosum.,fraxinus_excelsior.,fraxinus_excelsior._1,fraxinus_excelsior._2,fraxinus_excelsior._3,fraxinus_excelsior._4,fraxinus_excelsior._5,fraxinus_excelsior._6,hebe_spp.,hebe_spp._1,hebe_spp._2,hebe_spp._3,coprosma_sp.,dracophyllum_longifolium.,dracophyllum_longifolium._1,muehlenbeckia_complexa.,muehlenbeckia_ausiliaris.,hakea_acicularis.,hakea_acicularis._1,hakea_acicularis._2,pseudowintera_colorata.,pseudowintera_colorata._1,pseudowintera_colorata._2,pseudowintera_colorata._3,pseudowintera_colorata._4,pseudowintera_colorata._5,halocarpus_bidwillii.,halocarpus_bidwillii._1,halocarpus_bidwillii._2,halocarpus_bidwillii._3,halocarpus_bidwillii._4,halocarpus_bidwillii._5,halocarpus_bidwillii._6
1,30_S30,acacia_melanoxylon.,0,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,112,112,112,112,112,112,112,112,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,180.599991,180.599991,180.599991,180.599991,180.599976,180.599976,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250.000015,250.000015,250,249.999985,282,282,282,316.888885,316.888885,316.888885,316.888885,316.888885,316.888885,650,650,650,650,650,650,650
2,95_S81,acacia_melanoxylon.,9.333344,0,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,112,112,112,112,112,112,112,112,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,180.599991,180.599991,180.599991,180.599991,180.599976,180.599976,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250.000015,250.000015,250,249.999985,282,282,282,316.888885,316.888885,316.888885,316.888885,316.888885,316.888885,650,650,650,650,650,650,650
3,123_S103,acacia_melanoxylon.,9.333344,9.333344,0,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,112,112,112,112,112,112,112,112,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,180.599991,180.599991,180.599991,180.599991,180.599976,180.599976,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250.000015,250.000015,250,249.999985,282,282,282,316.888885,316.888885,316.888885,316.888885,316.888885,316.888885,650,650,650,650,650,650,650
4,145_S118,acacia_melanoxylon.,9.333344,9.333344,9.333344,0,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,9.333344,112,112,112,112,112,112,112,112,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,180.599991,180.599991,180.599991,180.599991,180.599976,180.599976,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250.000015,250.000015,250,249.999985,282,282,282,316.888885,316.888885,316.888885,316.888885,316.888885,316.888885,650,650,650,650,650,650,650
5,NSW1A_S64,acacia_baileyana.,9.333344,9.333344,9.333344,9.333344,0,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,112,112,112,112,112,112,112,112,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112,112,112,112,112,112,112,112,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,180.599991,180.599991,180.599991,180.599991,180.599976,180.599976,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249.999969,282,282,282,316.888885,316.888885,316.888885,316.888885,316.888885,316.888885,650,650,650,650,650,650,650
6,NSW1B_S65,acacia_baileyana.,9.333344,9.333344,9.333344,9.333344,9.333342,0,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,112,112,112,112,112,112,112,112,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112,112,112,112,112,112,112,112,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,180.599991,180.599991,180.599991,180.599991,180.599976,180.599976,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249.999969,282,282,282,316.888885,316.888885,316.888885,316.888885,316.888885,316.888885,650,650,650,650,650,650,650
7,NSW1b_S172,acacia_baileyana.,9.333344,9.333344,9.333344,9.333344,9.333342,9.333342,0,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,112,112,112,112,112,112,112,112,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112,112,112,112,112,112,112,112,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,180.599991,180.599991,180.599991,180.599991,180.599976,180.599976,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249.999969,282,282,282,316.888885,316.888885,316.888885,316.888885,316.888885,316.888885,650,650,650,650,650,650,650
8,NSW1C_S66,acacia_baileyana.,9.333344,9.333344,9.333344,9.333344,9.333342,9.333342,9.333342,0,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,112,112,112,112,112,112,112,112,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112,112,112,112,112,112,112,112,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,180.599991,180.599991,180.599991,180.599991,180.599976,180.599976,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249.999969,282,282,282,316.888885,316.888885,316.888885,316.888885,316.888885,316.888885,650,650,650,650,650,650,650
9,58_S55,acacia_dealbata.,9.333344,9.333344,9.333344,9.333344,9.333342,9.333342,9.333342,9.333342,0,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,112,112,112,112,112,112,112,112,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112,112,112,112,112,112,112,112,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,180.599991,180.599991,180.599991,180.599991,180.599976,180.599976,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249.999969,282,282,282,316.888885,316.888885,316.888885,316.888885,316.888885,316.888885,650,650,650,650,650,650,650
10,74_S66,acacia_dealbata.,9.333344,9.333344,9.333344,9.333344,9.333342,9.333342,9.333342,9.333342,9.333342,0,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,9.333342,112,112,112,112,112,112,112,112,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112.000008,112,112,112,112,112,112,112,112,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,169.299988,180.599991,180.599991,180.599991,180.599991,180.599976,180.599976,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,192.999985,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249.999969,282,282,282,316.888885,316.888885,316.888885,316.888885,316.888885,316.888885,650,650,650,650,650,650,650
