SampleID,Sample Name,seqrun,f_primer,r_primer,Cycles,Annealing temperature,Taq,Project Description/ Owner,psyllid_family,psyllid_genus,psyllid_spp,hostplant_spp,Collection,Collection Date
30_S30,30,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia acaciae,Acacia melanoxylon,"43°42'51.72""S 172°47'00.86""E",14/09/2014
95_S81,95,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia acaciae,Acacia melanoxylon,"46°24'08.13""S 168°21'39.78""E",26/02/2015
123_S103,123,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia acaciae,Acacia melanoxylon,"36°51'01.51""S 174°46'04.29""E",22/03/2015
145_S118,145,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia acaciae,Acacia melanoxylon,"37°46'14.54""S 175°15'02.77""E",28/03/2015
NSW1A_S64,NSW1A,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia acaciaebaileyanae,Acacia baileyana,"33°49'59.30""S 150°32'55.60""E",4/11/2014
NSW1B_S65,NSW1B,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia acaciaebaileyanae,Acacia baileyana,"33°49'59.30""S 150°32'55.60""E",4/11/2014
NSW1b_S172,NSW1B,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia acaciaebaileyanae,Acacia baileyana,"33°49'59.30""S 150°32'55.60""E",4/11/2014
NSW1C_S66,NSW1C,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia acaciaebaileyanae,Acacia baileyana,"33°49'59.30""S 150°32'55.60""E",4/11/2014
58_S55,58,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia albizziae,Acacia sp.,"40°43'36.60""S 172°41'19.40""E",23/01/2015
74_S66,74,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia albizziae,Acacia sp.,"43°34'15.50""S 172°37'26.70""E",17/02/2015
179_S143,179,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia albizziae,Acacia sp.,"43°38'05.70""S 172°29'24.20""E",17/04/2015
11A_S89,11A,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia albizziae,Acacia sp.,"41°25'05.84""S 173°57'53.38""E",19/09/2014
11B_S90,11B,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia jucunda,Acacia sp.,"41°25'05.84""S 173°57'53.38""E",19/09/2014
19B_S62,19B,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia albizziae,Acacia sp.,"41°15'27.81""S 172°49'21.79""E",24/09/2014
19VOUCHB_S18,19B,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia albizziae,Acacia sp.,"41°15'27.81""S 172°49'21.79""E",24/09/2014
10_S10,10,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia dodonaeae,Dodonaea viscosa,"42°09'20.09""S 173°55'26.43""E",19/09/2014
