SampleID,Sample_Name,seqrun,psyllid_spp,psyllid_genus,psyllid_family,hostplant_spp,Collection_Date,replicated,lat,long
30_S30,30,2,Acizzia_acaciae,Acizzia,Psyllidae,Acacia_melanoxylon,14/9/14,FALSE,-43.71416666666667,172.78333333333333
95_S81,95,2,Acizzia_acaciae,Acizzia,Psyllidae,Acacia_melanoxylon,26/2/15,FALSE,-46.40222222222222,168.36083333333332
123_S103,123,2,Acizzia_acaciae,Acizzia,Psyllidae,Acacia_melanoxylon,22/3/15,FALSE,-36.85027777777778,174.76777777777778
145_S118,145,2,Acizzia_acaciae,Acizzia,Psyllidae,Acacia_melanoxylon,28/3/15,FALSE,-37.77055555555555,175.25055555555556
NSW1A_S64,NSW1A,1,Acizzia_acaciaebaileyanae,Acizzia,Psyllidae,Acacia_baileyana,4/11/14,FALSE,-33.83305555555556,150.54861111111111
NSW1B_S65,NSW1B,1,Acizzia_acaciaebaileyanae,Acizzia,Psyllidae,Acacia_baileyana,4/11/14,TRUE,-33.83305555555556,150.54861111111111
NSW1b_S172,NSW1B,2,Acizzia_acaciaebaileyanae,Acizzia,Psyllidae,Acacia_baileyana,4/11/14,TRUE,-33.83305555555556,150.54861111111111
NSW1C_S66,NSW1C,1,Acizzia_acaciaebaileyanae,Acizzia,Psyllidae,Acacia_baileyana,4/11/14,FALSE,-33.83305555555556,150.54861111111111
58_S55,58,2,Acizzia_albizziae,Acizzia,Psyllidae,Acacia_sp,23/1/15,FALSE,-40.72666666666667,172.68861111111113
74_S66,74,2,Acizzia_albizziae,Acizzia,Psyllidae,Acacia_sp,17/2/15,FALSE,-43.57083333333334,172.6238888888889
179_S143,179,2,Acizzia_albizziae,Acizzia,Psyllidae,Acacia_sp,17/4/15,FALSE,-43.63472222222222,172.48999999999998
11A_S89,11A,1,Acizzia_albizziae,Acizzia,Psyllidae,Acacia_sp,19/9/14,TRUE,-41.418055555555554,173.9647222222222
11B_S90,11B,1,Acizzia_jucunda,Acizzia,Psyllidae,Acacia_sp,19/9/14,FALSE,-41.418055555555554,173.9647222222222
19B_S62,19B,1,Acizzia_albizziae,Acizzia,Psyllidae,Acacia_sp,24/9/14,TRUE,-41.2575,172.8225
19VOUCHB_S18,19B,2,Acizzia_albizziae,Acizzia,Psyllidae,Acacia_sp,24/9/14,TRUE,-41.2575,172.8225
10_S10,10,2,Acizzia_dodonaeae,Acizzia,Psyllidae,Dodonaea_viscosa,19/9/14,FALSE,-42.15555555555555,173.92388888888888
13_S12,13,2,Acizzia_dodonaeae,Acizzia,Psyllidae,Dodonaea_viscosa,21/9/14,FALSE,-41.30555555555555,173.28416666666666
17_S15,17,2,Acizzia_dodonaeae,Acizzia,Psyllidae,Dodonaea_viscosa,22/9/14,FALSE,-40.948055555555555,173.04194444444445
12A_S85,12A,1,Acizzia_dodonaeae,Acizzia,Psyllidae,Dodonaea_viscosa,19/9/14,FALSE,-41.29111111111111,173.23444444444442
12B_S86,12B,1,Acizzia_dodonaeae,Acizzia,Psyllidae,Dodonaea_viscosa,19/9/14,FALSE,-41.29111111111111,173.23444444444442
18A_S87,18A,1,Acizzia_dodonaeae,Acizzia,Psyllidae,Dodonaea_viscosa,23/9/14,FALSE,-40.785,172.7263888888889
18B_S88,18B,1,Acizzia_dodonaeae,Acizzia,Psyllidae,Dodonaea_viscosa,23/9/14,FALSE,-40.785,172.7263888888889
SI1_S178,SI1,2,Acizzia_dodonaeae,Acizzia,Psyllidae,Dodonaea_viscosa,14/10/14,FALSE,-46.900277777777774,168.12083333333334
180_S144,180,2,Acizzia_errabunda,Acizzia,Psyllidae,Acacia_baileyana,17/7/15,FALSE,-43.634166666666665,172.48666666666665
3_S2,3,2,Acizzia_hakeae,Acizzia,Psyllidae,Hakea_acicularis,1/9/14,FALSE,-43.45805555555556,172.20638888888888
16_S14,16,2,Acizzia_hakeae,Acizzia,Psyllidae,Hakea_acicularis,22/9/14,FALSE,-40.948055555555555,173.04194444444445
80_S70,80,2,Acizzia_hakeae,Acizzia,Psyllidae,Grevillea_sp,23/2/15,FALSE,-44.40888888888889,171.25305555555556
11a_S11,11A,2,Acizzia_jucunda,Acizzia,Psyllidae,Acacia_sp,19/9/14,TRUE,-41.418055555555554,173.9647222222222
19A_S61,19A,1,Acizzia_jucunda,Acizzia,Psyllidae,Acacia_sp,24/9/14,TRUE,-41.2575,172.8225
19a_S16,19A,2,Acizzia_jucunda,Acizzia,Psyllidae,Acacia_sp,24/9/14,TRUE,-41.2575,172.8225
19VOUCHA_S17,19A,2,Acizzia_jucunda,Acizzia,Psyllidae,Acacia_sp,24/9/14,TRUE,-41.2575,172.8225
19C_S63,19C,1,Acizzia_jucunda,Acizzia,Psyllidae,Acacia_sp,24/9/14,FALSE,-41.2575,172.8225
116a_S95,116A,2,Acizzia_solanicola,Acizzia,Psyllidae,Solanum_tuberosum,6/3/15,FALSE,-36.89944444444444,174.78194444444446
116b_S96,116B,2,Acizzia_solanicola,Acizzia,Psyllidae,Solanum_tuberosum,6/3/15,FALSE,-36.89944444444444,174.78194444444446
65_S61,65,2,Acizzia_uncatoides,Acizzia,Psyllidae,Acacia_sp,30/1/15,FALSE,-40.71472222222223,172.68027777777777
