SampleID,Sample_Name,seqrun,f_primer,r_primer,Cycles,Annealing_temperature,Taq,Project_Description/_Owner,psyllid_family,psyllid_genus,psyllid_spp,hostplant_spp,Collection_Date,replicated,lat,long,genus_geo
30_S30,30,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_acaciae,Acacia_melanoxylon,14/09/2014,FALSE,-43.71416667,172.7833333,Acizzia
95_S81,95,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_acaciae,Acacia_melanoxylon,26/02/2015,FALSE,-46.40222222,168.3608333,Acizzia
123_S103,123,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_acaciae,Acacia_melanoxylon,22/03/2015,FALSE,-36.85027778,174.7677778,Acizzia
145_S118,145,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_acaciae,Acacia_melanoxylon,28/03/2015,FALSE,-37.77055556,175.2505556,Acizzia
NSW1A_S64,NSW1A,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_acaciaebaileyanae,Acacia_baileyana,4/11/2014,FALSE,-33.83305556,150.5486111,Acizzia
NSW1B_S65,NSW1B,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_acaciaebaileyanae,Acacia_baileyana,4/11/2014,TRUE,-33.83305556,150.5486111,Acizzia
NSW1b_S172,NSW1B,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_acaciaebaileyanae,Acacia_baileyana,4/11/2014,TRUE,-33.83305556,150.5486111,Acizzia
NSW1C_S66,NSW1C,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_acaciaebaileyanae,Acacia_baileyana,4/11/2014,FALSE,-33.83305556,150.5486111,Acizzia
58_S55,58,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_albizziae,Acacia_sp,23/01/2015,FALSE,-40.72666667,172.6886111,Acizzia
74_S66,74,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_albizziae,Acacia_sp,17/02/2015,FALSE,-43.57083333,172.6238889,Acizzia
